archetype,vp-vo n,narr-age,narr-family type,narr-duration,narr-spending,narr-env,narr-income,narr-mortgage percent,narr-credit,prm-house sqft,prm-lot sqft,prm-house age,prm-step,prm-suite,prm-reno plan,prm-wall type,prm-wall age,prm-window type,prm-window age,prm-roof type,prm-roof age,prm-heat eff,prm-heat fuel,prm-heat age,prm-dhw eff,prm-dwh fuel,prm-dhw age,prm-cool fuel,prm-leakage,prm-maintenance,prm-asbestos,likres-step 2,likres-step 3,likres-step 4,likres-step 5,likres-higheff,likres-teardown,likres-carbon2050,expres-pol1,expres-pol2,expres-pol3,expres-conf,sort
4,3,3,1,1,2,1,2,2,1,2,2,3,1,0,0,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,0,5,5,3,1,3,3,5,1,2,8,3,31
4,3,3,1,1,2,1,2,2,1,2,2,3,1,0,0,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,0,1,1,1,1,2,2,7,2,3,9,3,55
4,5,3,3,1,2,3,3,4,1,2,2,3,1,0,1,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,0,6,5,3,1,2,3,3,4,5,8,4,10
4,5,3,3,1,2,3,3,4,1,2,2,3,1,0,1,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,0,6,6,6,6,5,1,5,2,3,5,3,37
4,5,3,3,1,2,3,3,4,1,2,2,3,1,0,1,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,0,5,4,4,3,4,2,5,1,7,8,3,58
4,5,3,3,1,2,3,3,4,1,2,2,3,1,0,1,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,0,4,1,1,1,4,2,4,1,8,9,3,61
1,1,4,1,4,1,3,2,1,1,1,2,2,1,0,0,1,3,1,5,1,5,1,1,5,1,1,5,1,2,3,0,2,1,1,1,1,2,7,1,6,9,2,14
1,1,4,1,4,1,3,2,1,1,1,2,2,1,0,0,1,3,1,5,1,5,1,1,5,1,1,5,1,2,3,0,1,1,1,1,2,2,7,2,3,9,3,56
1,1,4,1,4,1,3,2,1,1,1,2,2,1,0,0,1,3,1,5,1,5,1,1,5,1,1,5,1,2,3,0,2,1,1,1,1,2,4,4,7,8,3,62
4,4,3,1,1,2,3,3,2,1,2,2,3,1,0,0,1,4,2,4,1,3,2,1,5,2,1,5,1,2,3,0,5,1,1,1,5,2,3,6,9,9,4,22
4,4,3,1,1,2,3,3,1,1,2,2,3,1,0,0,1,4,2,4,1,3,2,1,5,2,1,5,1,2,3,0,5,4,3,2,5,3,1,3,4,9,4,34
2,3,6,1,4,1,1,2,1,,5,3,4,1,0,0,1,5,2,5,1,5,1,1,5,3,2,1,1,3,3,0,3,2,1,1,2,2,3,1,6,8,3,2
2,3,6,1,4,1,1,2,1,,5,3,4,1,0,0,1,5,2,5,1,5,1,1,5,3,2,1,1,3,3,0,5,5,3,2,5,2,6,9,9,9,4,35
2,3,6,1,4,1,1,2,1,,5,3,4,1,0,0,1,5,2,5,1,5,1,1,5,3,2,1,1,3,3,0,5,4,1,1,3,3,3,4,6,8,3,47
2,4,4,3,4,1,2,3,1,1,5,3,4,1,0,1,1,5,2,5,1,5,1,1,5,3,2,1,1,3,3,0,3,2,1,1,4,3,1,1,4,6,4,5
2,4,4,3,4,1,2,3,1,1,5,3,4,1,0,1,1,5,2,5,1,5,1,1,5,3,2,1,1,3,3,0,5,5,5,5,5,1,5,2,3,4,3,38
2,4,4,3,4,1,2,3,1,1,5,3,4,1,0,1,1,5,2,5,1,5,1,1,5,3,2,1,1,3,3,0,5,6,4,3,4,1,5,1,3,8,2,50
2,5,2,2,1,3,3,3,4,1,5,3,4,1,0,1,1,5,2,5,1,5,1,1,5,3,2,1,1,3,3,0,5,5,3,1,5,2,7,4,5,8,3,8
3,3,2,2,1,3,3,3,4,1,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,3,0,7,3,1,1,1,3,1,1,6,8,4,6
3,3,2,2,1,3,3,3,4,1,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,3,0,5,1,1,1,3,3,7,1,5,6,4,42
5,1,6,4,5,1,1,1,1,1,4,1,1,0,1,0,1,5,2,5,1,5,,3,5,1,1,5,1,1,3,0,2,1,1,1,1,3,1,1,8,9,3,12
5,1,6,4,5,1,1,1,1,1,4,1,1,0,1,0,1,5,2,5,1,5,,3,5,1,1,5,1,1,3,0,5,5,3,2,5,3,5,3,7,8,4,36
5,1,6,4,5,1,1,1,1,1,4,1,1,0,1,0,1,5,2,5,1,5,,3,5,1,1,5,1,1,3,0,6,6,3,1,2,3,2,3,4,8,2,51
5,4,3,1,1,3,3,3,4,1,4,1,1,0,0,1,1,5,2,5,1,5,,3,5,1,1,5,1,1,3,0,3,2,1,1,6,3,7,1,2,3,4,57
4,2,3,1,1,1,1,1,2,1,2,2,3,1,0,0,1,4,2,4,1,3,2,1,5,2,1,2,1,2,1,0,1,1,1,1,3,2,7,4,5,8,4,7
4,2,3,1,1,1,1,1,2,1,2,2,3,1,0,0,1,4,2,4,1,3,2,1,5,2,1,2,1,2,1,0,5,4,1,1,5,2,6,3,6,8,3,28
4,2,3,1,1,1,1,1,2,1,2,2,3,1,0,0,1,4,2,4,1,3,2,1,5,2,1,2,1,2,1,0,5,2,1,1,1,2,4,4,5,6,4,52
1,6,3,5,3,2,1,3,5,2,1,2,2,1,0,0,1,3,1,3,1,4,1,1,4,1,1,4,1,2,2,0,6,4,2,1,3,2,5,1,6,8,3,1
1,6,3,5,3,2,1,3,5,2,1,2,2,1,0,0,1,3,1,3,1,4,1,1,4,1,1,4,1,2,2,0,5,6,2,1,3,2,1,1,2,8,2,49
1,4,2,2,1,1,2,2,5,1,1,2,2,1,0,1,1,3,1,3,1,4,1,1,4,1,1,4,1,2,2,0,5,6,3,1,4,2,6,3,8,9,3,16
1,4,2,2,1,1,2,2,5,1,1,2,2,1,0,1,1,3,1,3,1,4,1,1,4,1,1,4,1,2,2,0,5,3,3,3,6,2,7,1,4,8,4,19
1,3,2,2,1,1,2,2,5,1,1,2,2,1,0,1,1,3,1,3,1,4,1,1,4,1,1,4,1,2,2,0,4,3,2,1,3,3,5,1,7,8,3,59
2,2,5,1,4,1,1,3,1,1,5,3,4,1,0,0,1,5,2,5,1,5,1,1,5,3,2,1,1,3,5,0,7,5,3,1,5,2,5,1,7,9,3,32
2,2,5,1,4,1,1,3,1,1,5,3,4,1,0,0,1,5,2,5,1,5,1,1,5,3,2,1,1,3,5,0,7,4,3,1,5,3,7,5,6,8,4,44
4,3,4,1,2,2,3,3,4,3,2,2,3,1,0,1,1,4,2,4,1,3,2,1,4,2,1,4,1,2,4,0,4,3,1,1,4,3,5,1,7,9,2,13
4,6,4,1,2,2,3,3,4,3,2,2,3,1,0,1,1,4,2,4,1,3,2,1,4,2,1,4,1,2,4,0,5,4,3,2,5,2,4,2,7,8,3,64
1,2,4,1,5,3,2,3,1,1,1,2,2,1,0,0,1,5,1,5,1,5,1,1,4,1,1,5,1,2,4,0,2,1,1,1,1,3,1,1,5,8,3,11
1,2,4,1,5,3,2,3,1,1,1,2,2,1,0,0,1,5,1,5,1,5,1,1,4,1,1,5,1,2,4,0,1,1,1,1,1,2,1,1,5,8,4,40
1,5,4,1,5,3,2,3,1,1,1,2,2,1,0,0,1,5,1,5,1,5,1,1,4,1,1,5,1,2,4,0,3,1,1,1,3,2,3,4,6,8,3,46
2,6,3,2,2,1,3,3,5,1,5,3,4,1,0,1,1,5,2,5,1,5,1,1,5,3,2,1,1,3,4,0,5,1,1,1,2,3,1,5,6,9,4,53
2,1,3,2,2,3,2,3,4,,5,3,4,1,0,1,1,5,2,5,1,5,1,1,5,3,2,1,1,3,4,0,5,4,1,1,5,3,6,3,6,8,3,29
2,1,3,2,2,3,2,3,4,,5,3,4,1,0,1,1,5,2,5,1,5,1,1,5,3,2,1,1,3,4,0,6,5,4,4,5,2,5,5,7,8,3,66
3,4,2,2,1,3,3,3,2,3,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,7,3,2,1,1,3,2,4,5,8,4,9
3,4,2,2,1,3,3,3,2,3,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,7,7,6,6,4,1,6,1,5,6,4,27
3,1,2,3,1,2,1,3,2,3,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,5,5,1,1,6,3,7,1,7,8,4,21
3,2,1,3,1,2,2,3,2,3,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,7,2,1,1,4,3,7,1,4,8,4,3
3,5,2,3,1,1,2,3,4,1,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,7,4,2,1,3,3,7,1,6,8,3,30
3,5,2,3,1,1,2,3,4,1,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,7,5,5,1,6,3,7,1,6,8,4,45
3,6,2,2,1,3,3,3,2,,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,7,4,2,2,2,1,5,1,4,7,3,33
3,6,2,2,1,3,3,3,2,,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,2,4,4,0,7,5,4,3,5,3,4,4,6,8,3,48
5,4,5,4,4,1,1,2,4,2,4,1,1,0,1,0,1,5,2,5,1,5,,3,5,1,1,5,1,1,4,0,2,1,1,1,4,3,6,3,7,8,2,15
5,2,5,4,4,1,1,2,4,2,4,1,1,0,1,0,1,5,2,5,1,5,,3,5,1,1,5,1,1,4,0,4,4,4,4,4,2,5,2,3,4,3,39
5,3,5,1,3,1,2,2,1,2,4,1,1,0,1,1,1,5,2,5,1,5,,3,5,1,1,5,1,1,4,0,5,2,2,2,5,3,7,4,6,8,3,20
5,3,5,1,3,1,2,2,1,2,4,1,1,0,1,1,1,5,2,5,1,5,,3,5,1,1,5,1,1,4,0,2,1,1,1,1,2,4,4,5,6,3,54
5,6,3,2,1,3,3,2,1,2,4,1,1,0,0,1,1,5,2,5,1,5,,3,5,1,1,5,1,1,4,0,7,7,7,7,7,1,7,2,3,5,4,26
5,6,3,2,1,3,3,2,1,2,4,1,1,0,0,1,1,5,2,5,1,5,,3,5,1,1,5,1,1,4,0,1,1,1,1,3,3,3,1,5,8,4,41
5,6,3,2,1,3,3,2,1,2,4,1,1,0,0,1,1,5,2,5,1,5,,3,5,1,1,5,1,1,4,0,5,4,3,3,4,1,5,1,7,8,3,60
5,6,3,2,1,3,3,2,1,2,4,1,1,0,0,1,1,5,2,5,1,5,,3,5,1,1,5,1,1,4,0,5,4,2,1,5,3,6,4,7,8,3,63
4,1,6,1,5,1,2,4,1,,2,2,3,1,0,0,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,1,3,1,1,1,3,3,1,1,4,6,4,4
4,1,6,1,5,1,2,4,1,,2,2,3,1,0,0,1,4,2,4,1,3,2,1,2,2,1,2,1,2,3,1,7,6,4,1,4,2,1,2,6,7,4,25
1,4,2,1,1,2,1,3,5,1,1,2,2,1,0,1,1,3,1,3,1,4,1,1,4,1,1,4,1,2,3,1,6,5,3,1,5,2,7,1,6,8,4,43
1,4,2,1,1,2,1,3,5,1,1,2,2,1,0,1,1,3,1,3,1,4,1,1,4,1,1,4,1,2,3,1,3,2,1,1,2,3,4,2,6,8,3,65
