survey number,all narratives,archetype,optimism_str,optimism_int,id,unique_id,expqual-field,expqual-field_notes,expqual-field_years,expqual-step_familiar,expqual-market_familiar,resp-likert_step2,resp-likert_step3,resp-likert_step4,resp-likert_step5,resp-likert_higheff,resp-retrofit_teardown_neither,resp-likert_carbon2050,resp-influential_param,resp-policy1,resp-policy2,resp-policy3,resp-confidence,resp-additional_info
17,"VS-sp, SB-p,WC-vo",vs,sp,3,vs3,17vs3,Engineering and computer science,,10 to 14,Very familiar,Familiar,Likely,Likely,Unlikely,Very Unlikely,Unlikely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Likely,"No motivators for renewing the house for this particular user identity, I don't see drivers for them to sell and leave either.","An energy disclosure mandate with a benchmarking, audit, and labeling protocol",A public financing scheme such as a provincial 'Green Bank',"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Medium Confidence,It appears as though their is no major driver for this particular type of owner. It is my opinion that only larger forces (like a public narrative that made you a pariah if you didn't retrofit your home or regulation) would drive this kind of homeowner.
17,"VS-sp, SB-p,WC-vo",sb,p,2,sb2,17sb2,Engineering and computer science,0,10 to 14,Very familiar,Familiar,Very Likely,Likely,Unlikely,Very unlikely,Likely,More likely to be demolished and rebuilt,Likely,"They will age out of the home before 2050 and it will be torn down and rebuilt to code, which will be carbon free by that time.","An energy disclosure mandate with a benchmarking, audit, and labeling protocol",The creation of an integrated public retrofit servicing agency,Land use adaptation (multi-generational housing) could trigger retrofit that would accommodate energy efficiency,Medium Confidence,0
17,"VS-sp, SB-p,WC-vo",wc,vo,6,wc6,17wc6,Engineering and computer science,0,10 to 14,Very familiar,Familiar,Very Likely,Neutral,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,More likely to retrofit to Step Code 5,Likely,"A renovation in this type of area and income class is likely for non-energy reasons, opening door for retrofit.","An energy disclosure mandate with a benchmarking, audit, and labeling protocol",An education campaign for owners and practitioners on potential savings and best practices,The creation of an integrated public retrofit servicing agency.,Medium Confidence,0
16,"VS-so,SB-sp, GWH-vp",vs,so,4,vs4,16vs4,Other,Industry association,10 to 14,Very familiar,Familiar,Likely,Neutral,Unlikely,Somewhat Unlikely,Likely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Very Unlikely,"The age of the house, the likely motivation level of the owners, and the effort required to bring a house of this age/condition to be Step 5-compliant.",Aggregation of individual retrofit projects into packages,An education campaign for owners and practitioners on potential savings and best practices,"A comprehensive, multi-level financing scheme consisting of tax credits (federal and provincial), local government incentives (property tax credits, expedited permit approval, reduced permit fees), preferred rate bank financing, utility rebates for mechanicals.",High Confidence,"IMO, a big part of today's situation is lack of consumer knowledge. Industry and government would be in a much better position to provide retrofit solutions if homeowners demanded high efficiency homes. Without 'bottom-up' demand push, implementation of policies and mandatory regulations will always be met with some resistance."
16,"VS-so,SB-sp, GWH-vp",sb,sp,3,sb3,16sb3,Other,Industry association,10 to 14,Very familiar,Familiar,Likely,Likely,Unlikely,Somewhat Unlikely,Likely,More likely to be demolished and rebuilt,Somewhat Likely,"Age of the homeowners, and likelihood that new owners will demolish and rebuild, given the very high land value of the property.",I do not believe this house will be retrofitted.,"Unless there is such a comprehensive financing package for energy retrofits that make it irresistible to future homeowners, it will be demolished.","IMO, none of the above-listed options will be sufficient to entice the homeowner to retrofit.",High Confidence,"This type of house is in a 'dead zone' of retrofit potential. Unlike a Vancouver Special, it doesn't have any nostalgic value. In fact, it likely represents an 'unfavoured' era of Vancouver's single family home architecture/design/development. As a result, I find it unlikely that it will be retrofitted/renovated. It is a classic candidate for demo/rebuild."
16,"VS-so,SB-sp, GWH-vp",gwh,vp,1,gwh1,16gwh1,Other,Industry association,10 to 14,Very familiar,Familiar,Likely,Likely,Unlikely,Somewhat Unlikely,Likely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Likely,"Vancouver has implemented incentives to retain Character Homes. This house would qualify, so I could see a subsequent homeowner expanding the house and rebuilding the garage into a laneway house, and using the opportunity to complete a full-building energy retrofit.",Aggregation of individual retrofit projects into packages,The creation of an integrated public retrofit servicing agency,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",High Confidence,"Unlike Case 2, this house is of an archtype much loved by Vancouverites, and the City has demonstrated its desire to retain them. With the proper package of incentives, including senior government tax credits, utility rebates and City incentives, a moderate-level upgrade would be both achievable and desirable by a future homeowner."
15,"VS-o, SB-so, GWH-p",vs,o,5,vs5,15vs5,Engineering and computer science,,10 to 14,Very familiar,Familiar,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Likely,More likely to retrofit to Step Code 5,Likely,Homeowner interest in sustainability,A public financing scheme such as a provincial 'Green Bank',Aggregation of individual retrofit projects into packages,Conventional financing mechanism such as grants or tax abatements.,Medium Confidence,"There are heat pump based solutions that could offer both heating and cooling. The awareness of the impacts of the future climate (anticipated 30% reduction in heating energy demand by 2030s) is in its fledgling state. As long as we have an understanding of the average future climate of the 2050s and design our retrofits from that perspective, that would help."
15,"VS-o, SB-so, GWH-p",sb,so,4,sb4,15sb4,Engineering and computer science,0,10 to 14,Very familiar,Familiar,Likely,Likely,Likely,Likely,Likely,More likely to retrofit to Step Code 5,Likely,Vancouver's real estate market and CoV focus on Sustainability,A public financing scheme such as a provincial 'Green Bank',Aggregation of individual retrofit projects into packages,An education campaign for owners and practitioners on potential savings and best practices.,Medium Confidence,they might choose to upgrade their windows to higher energy efficiency and lower solar heat gain coeffs (depending on what the model says about overheating). Upgrade to heat pump with cooling as necessary.
15,"VS-o, SB-so, GWH-p",gwh,p,2,gwh2,15gwh2,Engineering and computer science,0,10 to 14,Very familiar,Familiar,Neutral,Neutral,Neutral,Neutral,Neutral,More likely to be demolished and rebuilt,Likely,likely carbon free by 2050 if they reconstruct,A public financing scheme such as a provincial 'Green Bank',Aggregation of individual retrofit projects into packages,An education campaign for owners and practitioners on potential savings and best practices.,Medium Confidence,The building is old and needs enclosure needs key repairs by 2030s. She can sell the lot to a developer and get a MURB built with a brand new energy efficient suite for herself (in an ideal world!).
11,"MP-p, GWH-vo, WC-sp",mp,p,2,mp2,11mp2,Engineering and computer science,,25 or more,Very familiar,Familiar,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very Unlikely,More likely to be demolished and rebuilt,Very Unlikely,The age of the house and the age of the owners as well as their life style. The property could be carbon free only if demolished and new house built on the site is enforced to be carbon free.,"An energy disclosure mandate with a benchmarking, audit, and labeling protocol",Conventional financing mechanism such as grants or tax abatements,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",High Confidence,0
11,"MP-p, GWH-vo, WC-sp",gwh,vo,6,gwh6,11gwh6,Engineering and computer science,0,25 or more,Very familiar,Familiar,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Unlikely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Unlikely,"The family income cannot support an extensive retrofit. They will likely stay in the house (this area has better schools) as they are cautios about childrens education. They will likely do some upgrades, but not sufficient enough to achieve Step 5.","An energy disclosure mandate with a benchmarking, audit, and labeling protocol",Conventional financing mechanism such as grants or tax abatements,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",High Confidence,0
11,"MP-p, GWH-vo, WC-sp",wc,sp,3,wc3,11wc3,Engineering and computer science,0,25 or more,Very familiar,Familiar,Likely,Very unlikely,Very unlikely,Very unlikely,Unlikely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Very Likely,Regardless of great family income it is unlikely that significant home building envelope retrofit will be performed. The home is already very efficient and thge only improvment I envision in this home would be adding heat pump domestic water heater (instead of electric resistance heater). Potential energy savings and return of investment for bringing this home to Step 5 would not be atractive even for this family.,"An energy disclosure mandate with a benchmarking, audit, and labeling protocol",Conventional financing mechanism such as grants or tax abatements,Innovative financing mechanisms such as attaching loans to meter savings.,High Confidence,0
9,"MP-so, SB-p, WC-o",mp,so,4,mp4,9mp4,Government and public works,,10 to 14,Very familiar,Neutral,Somewhat Likely,Likely,Unlikely,Very unlikely,Likely,More likely to be demolished and rebuilt,Very Likely,"1) likelyhood that furnace and boiler will be replaced with heat pumps, and 2) the fact that windows will be replaced between 2030 and 2040","An energy disclosure mandate with a benchmarking, audit, and labeling protocol",Innovative financing mechanisms such as attaching loans to meter savings,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",High Confidence,0
9,"MP-so, SB-p, WC-o",sb,p,2,sb2,9sb2,Government and public works,0,10 to 14,Very familiar,Neutral,Very Likely,Neutral,Unlikely,Very unlikely,Likely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Very Likely,"Hot water is already carbon free. Furnace must be replaced by 2025, most likely with another furnace but possibly with a heat pump. If not, this new furnace will need replacement before 2050 and by then retrofit regulations will require a heat pump.",Conventional financing mechanism such as grants or tax abatements,Innovative financing mechanisms such as attaching loans to meter savings,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",High Confidence,0
9,"MP-so, SB-p, WC-o",wc,o,5,wc5,9wc5,Government and public works,0,10 to 14,Very familiar,Neutral,Very Likely,Likely,Likely,Very unlikely,Somewhat Likely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Very Likely,it is already all-electric and thus carbon free.,"An energy disclosure mandate with a benchmarking, audit, and labeling protocol",Innovative financing mechanisms such as attaching loans to meter savings,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",High Confidence,0
8,"MP-o, SB-sp, WC-vo",mp,o,5,mp5,8mp5,Government and public works,,25 or more,Familiar,Familiar,Unlikely,Very unlikely,Very unlikely,Very unlikely,Unlikely,More likely to be demolished and rebuilt,Unlikely,Owners do not upgrade their home for energy efficiency voluntarily,An education campaign for owners and practitioners on potential savings and best practices,Innovative financing mechanisms such as attaching loans to meter savings,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Medium Confidence,0
8,"MP-o, SB-sp, WC-vo",sb,sp,3,sb3,8sb3,Government and public works,0,25 or more,Familiar,Familiar,Likely,Neutral,Very unlikely,Very unlikely,Unlikely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Unlikely,The house will be sold and the new owner may do some minor upgrade,An education campaign for owners and practitioners on potential savings and best practices,Innovative financing mechanisms such as attaching loans to meter savings,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Medium Confidence,0
8,"MP-o, SB-sp, WC-vo",wc,vo,6,wc6,8wc6,Government and public works,0,25 or more,Familiar,Familiar,Very Likely,Likely,Neutral,Unlikely,Likely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Neutral,the household characteristic,An education campaign for owners and practitioners on potential savings and best practices,Innovative financing mechanisms such as attaching loans to meter savings,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Medium Confidence,0
7,"MP-vo, SB-so, GWH-vp",mp,vo,6,mp6,7mp6,Government and public works,,less than 5,Familiar,Slightly unfamiliar,Likely,Somewhat Likely,Somewhat Unlikely,Very unlikely,Unlikely,More likely to be demolished and rebuilt,Very Unlikely,"Energy Step Code Metrics, Vancouver single family housing market stats, housing renovation trends, information about home owner preference and choices.","An energy disclosure mandate with a benchmarking, audit, and labeling protocol",A public financing scheme such as a provincial 'Green Bank',"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Low Confidence,0
7,"MP-vo, SB-so, GWH-vp",sb,so,4,sb4,7sb4,Government and public works,0,less than 5,Familiar,Slightly unfamiliar,Likely,Somewhat Likely,Neutral,Unlikely,Neutral,More likely to retrofit to Step Code 5,Likely,"Vancouver single family housing market, Energy Step Code Metrics, Renovation statistics","An energy disclosure mandate with a benchmarking, audit, and labeling protocol",Aggregation of individual retrofit projects into packages,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Low Confidence,0
7,"MP-vo, SB-so, GWH-vp",gwh,vp,1,gwh1,7gwh1,Government and public works,0,less than 5,Familiar,Slightly unfamiliar,Somewhat Likely,Somewhat Likely,Unlikely,Very unlikely,Somewhat Unlikely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Somewhat Unlikely,"Heritage home guidelines in Vancouver, energy step code metrics, single family housing market trends",Aggregation of individual retrofit projects into packages,An education campaign for owners and practitioners on potential savings and best practices,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Low Confidence,0
5,"VS-p, SB-vo, GWH-sp",vs,p,2,vs2,5vs2,Engineering and computer science,,10 to 14,Very familiar,Slightly familiar,Likely,Somewhat Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,More likely to be demolished and rebuilt,Neutral,"uncertainty in how long the current owners plan to live in the home as-is, and at what point it is sold as a tear-down and a home built to applicable high performance standards at that time.",An education campaign for owners and practitioners on potential savings and best practices,Conventional financing mechanism such as grants or tax abatements,Innovative financing mechanisms such as attaching loans to meter savings.,High Confidence,"Energy is cheap, retrofitting a building envelope is not. A robust building envelope retrofit is required, as well as adding heat recovery to ventilation. This would be very expensive and not financially attractive in terms of payback on investment. I don't see a way to force people to make such large renovations to their homes unless it is heavily subsidized, and even then people may not do it unless it will overall save them money, or even if it did, simply because they don't know about these things and are hesitant to pursue such a big and disruptive renovation. Not to mention the risks of discovering other costs for upgrades once the retrofit starts.

I think it's far more likely that the property would achieve high performance through being torn down and rebuilt, at which time it would be subject to high performance standards. This seems more likely to me due to the land value."
5,"VS-p, SB-vo, GWH-sp",sb,vo,6,sb6,5sb6,Engineering and computer science,0,10 to 14,Very familiar,Slightly familiar,Likely,Very unlikely,Very unlikely,Very unlikely,Somewhat Unlikely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Very Unlikely,"Achieving Step 3 or greater would require improved air tightness and most importantly, central ventilation through an HRV. Adding HRV ducting to an existing home seems unlikely to me. In addition, the home would require major updates to the building envelope thermal performance as well as air tightness. I don't believe these are likely to happen due to the cost",Conventional financing mechanism such as grants or tax abatements,Innovative financing mechanisms such as attaching loans to meter savings,A more mature retrofit industry with lower costs and better products.,High Confidence,"Again, it comes down to the fact that to achieve high performance, major renovations would be required. At some point it is easier and more cost effective to replace the home entirely, which seems more likely with the land prices in Vancouver, particularly if this home on a large lot is replaced with a duplex or other more dense housing."
5,"VS-p, SB-vo, GWH-sp",gwh,sp,3,gwh3,5gwh3,Engineering and computer science,0,10 to 14,Very familiar,Slightly familiar,Somewhat Unlikely,Very unlikely,Very unlikely,Very unlikely,Very Unlikely,More likely to be demolished and rebuilt,Neutral,Wondering what value is placed on the heritage of this vintage of home. It may lead to someone deciding to do a deep retrofit rather than tear down and rebuild.,An education campaign for owners and practitioners on potential savings and best practices,Conventional financing mechanism such as grants or tax abatements,Innovative financing mechanisms such as attaching loans to meter savings.,Medium Confidence,0
4,"VS-sp, MP-vp, GWH-so",vs,sp,3,vs3,4vs3,Government and public works,,25 or more,Very familiar,Very familiar,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Somewhat Unlikely,More likely to be demolished and rebuilt,Very Likely,"electrification, and perhaps rebuilt",A public financing scheme such as a provincial 'Green Bank',Aggregation of individual retrofit projects into packages,"Economic incentives through allowing additional living space/suite when retrofitted to Step 5.There's opportunity for co-benefits with improving seismic resilience and housing affordability. Allowing two or more adjacent buildings to be retrofitted into a rowhouse strata, adding ""infill units"" in between the original houses i.e. turning side yards into small homes.We'll then only need to ""upgrade"" the exterior walls along the front and back of the buildings and extend them to close off the sideyards.There would not be a need to upgrade the side walls between the existing buildings. The additional small homes created will be an economic incentive to make the Step 5 retrofits viable.",Medium Confidence,"It's important to consider economic viability and social equity in developing related policies or incentives.


Repeated from input above:
Economic incentives through allowing additional living space/suite when retrofitted to Step 5.There's opportunity for co-benefits with improving seismic resilience and housing affordability. Allowing two or more adjacent buildings to be retrofitted into a rowhouse strata, adding ""infill units"" in between the original houses i.e. turning side yards into small homes.We'll then only need to ""upgrade"" the exterior walls along the front and back of the buildings and extend them to close off the sideyards.There would not be a need to upgrade the side walls between the existing buildings. The additional small homes created will be an economic incentive to make the Step 5 retrofits viable."
4,"VS-sp, MP-vp, GWH-so",mp,vp,1,mp1,4mp1,Government and public works,0,25 or more,Very familiar,Very familiar,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Somewhat Unlikely,More likely to be demolished and rebuilt,Very Likely,"electrification, and likely new construction",A public financing scheme such as a provincial 'Green Bank',Aggregation of individual retrofit projects into packages,"Economic incentives through allowing additional living space/suite when retrofitted to Step 5.There's opportunity for co-benefits with improving seismic resilience and housing affordability. Allowing two or more adjacent buildings to be retrofitted into a rowhouse strata, adding ""infill units"" in between the original houses i.e. turning side yards into small homes.We'll then only need to ""upgrade"" the exterior walls along the front and back of the buildings and extend them to close off the sideyards.There would not be a need to upgrade the side walls between the existing buildings. The additional small homes created will be an economic incentive to make the Step 5 retrofits viable.",Medium Confidence,"It's important to consider economic viability and social equity in developing related policies or incentives.


Repeated from input above:
Economic incentives through allowing additional living space/suite when retrofitted to Step 5.There's opportunity for co-benefits with improving seismic resilience and housing affordability. Allowing two or more adjacent buildings to be retrofitted into a rowhouse strata, adding ""infill units"" in between the original houses i.e. turning side yards into small homes.We'll then only need to ""upgrade"" the exterior walls along the front and back of the buildings and extend them to close off the sideyards.There would not be a need to upgrade the side walls between the existing buildings. The additional small homes created will be an economic incentive to make the Step 5 retrofits viable."
4,"VS-sp, MP-vp, GWH-so",gwh,so,4,gwh4,4gwh4,Government and public works,0,25 or more,Very familiar,Very familiar,Unlikely,Somewhat Unlikely,Very unlikely,Very unlikely,Somewhat Likely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Very Likely,"electrification, with upgrade to building envelop, windows and mechanical systems; also considering home character and size for a relatively small lot.","An energy disclosure mandate with a benchmarking, audit, and labeling protocol",A public financing scheme such as a provincial 'Green Bank',Aggregation of individual retrofit projects into packages.,High Confidence,"Despite the possible high motivation of these homeowners to improve the environmental performance of their home, it's still very important to consider economic viability and social equity in developing related policies or incentives."
2,"VS-o, MP-sp, GWH-vo",vs,o,5,vs5,2vs5,Government and public works,,5 to 9,Very familiar,Slightly familiar,Likely,Neutral,Neutral,Unlikely,Neutral,More likely to be demolished and rebuilt,Likely,"Bias - I expect policy to mandate heat pumps by 2035, so decarbonize via fuel switch, not energy efficiency","An energy disclosure mandate with a benchmarking, audit, and labeling protocol",The creation of an integrated public retrofit servicing agency,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Medium Confidence,0
2,"VS-o, MP-sp, GWH-vo",mp,sp,3,mp3,2mp3,Government and public works,0,5 to 9,Very familiar,Slightly familiar,Neutral,Unlikely,Somewhat Unlikely,Very unlikely,Unlikely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Likely,See previous comment about heat pumps,"An energy disclosure mandate with a benchmarking, audit, and labeling protocol",The creation of an integrated public retrofit servicing agency,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Medium Confidence,0
2,"VS-o, MP-sp, GWH-vo",gwh,vo,6,gwh6,2gwh6,Government and public works,0,5 to 9,Very familiar,Slightly familiar,Likely,Neutral,Unlikely,Unlikely,Neutral,More likely to retrofit to Step Code 5,Likely,See previous,"An energy disclosure mandate with a benchmarking, audit, and labeling protocol",The creation of an integrated public retrofit servicing agency,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Medium Confidence,0
2,"VS-o, MP-sp, GWH-vo",vs,o,5,vs5,2vs5,Government and public works,,5 to 9,Very familiar,Familiar,Neutral,Very Unlikely,Very Unlikely,Very Unlikely,Neutral,More likely to be demolished and rebuilt,Neutral,"I assume the house would be torn down and re-built within 5-7 years due to age of building/system and occupants (father likely passed away, son likely moved out). Under existing/anticipated policy within this timeframe, gas heating is still allowed, and fossil gas has artificially low rates due to subsidization of the industry. Therefore, with higher costs of heat pumps, there is no major driver to go zero carbon at this time. On the other hand, as the family is environmentally minded they may choose this direction.","An energy disclosure mandate with a benchmarking, audit, and labeling protocol","The implementation of a Retrofit Code for energy, emissions, and safety upgrades",Implementation of zero carbon building code for re-build.,Medium Confidence,Incentives are fine as supporting mechanisms but ultimately we need clear regulation to get off fossil fuels. Also there is often conflation of energy efficiency with GHG reduction. Energy efficiency alone is not enough to reduce CO2 in line with CoV's new climate commitments.
2,"VS-o, MP-sp, GWH-vo",mp,sp,3,mp3,2mp3,Government and public works,0,5 to 9,Very familiar,Familiar,Somewhat Unlikely,Very unlikely,Very unlikely,Very unlikely,Very Unlikely,More likely to be demolished and rebuilt,Neutral,"Seems unlikely this family will live in the same house for 30 years, and/or significantly invest in upgrades, therefore demolish/rebuild either under their ownership or another seems likely. Whether or not it is carbon neutral depends mostly on when it rebuilds and what the city policy is at that time.",An education campaign for owners and practitioners on potential savings and best practices,The creation of an integrated public retrofit servicing agency,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Medium Confidence,0
2,"VS-o, MP-sp, GWH-vo",gwh,vo,6,gwh6,2gwh6,Government and public works,0,5 to 9,Very familiar,Familiar,Likely,Neutral,Somewhat Unlikely,Very unlikely,Likely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Somewhat Likely,"The building has a high aesthetic and heritage value. It is already heated primarily with electricity, and would be a good candidate for and air source heat pump retrofit.",An education campaign for owners and practitioners on potential savings and best practices,The creation of an integrated public retrofit servicing agency,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Medium Confidence,0
1,"VS-vo, MP-so, SB-vp",vs,vo,6,vs6,1vs6,Engineering and computer science,,10 to 14,Slightly familiar,Slightly familiar,Likely,Neutral,Unlikely,Somewhat Unlikely,Likely,More likely to be demolished and rebuilt,Neutral,"if the couple has undertaken retrofits in the past and is conscientious about their environmental impact, they will likely undertake future retrofits. Plus, if the couple downsizes and sells the house, it will likely be torn down, given its age.",A public financing scheme such as a provincial 'Green Bank',The creation of an integrated public retrofit servicing agency,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Medium Confidence,0
1,"VS-vo, MP-so, SB-vp",mp,so,4,mp4,1mp4,Engineering and computer science,0,10 to 14,Slightly familiar,Slightly familiar,Unlikely,Somewhat Unlikely,Very unlikely,Very unlikely,Somewhat Unlikely,"Neither (the building will exist, but will not achieve Step Code 5 by 2050)",Neutral,"The family likely won't be able to finance a major retrofit, and sounds like they may be there for the long term. Achieving Step 5 would require a major building renovation including envelop, which is a very expensive investment that doesn't see a payback.",A public financing scheme such as a provincial 'Green Bank',Innovative financing mechanisms such as attaching loans to meter savings,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Medium Confidence,0
1,"VS-vo, MP-so, SB-vp",sb,vp,1,sb1,1sb1,10 to 14,Slightly familiar,Slightly familiar,Somewhat Likely,Likely,Neutral,Neutral,Likely,More likely to be demolished and rebuilt,Likely,"If the couple downsizes after the kids move out in the next 10 years, the house will likely be rebuilt (since it's in Shaughnessy, the added cost of rebuilding would be relatively small compared to the price of the property). If regulations require high efficiency new builds, the house could achieve high levels on the Step Code.",Conventional financing mechanism such as grants or tax abatements,The creation of an integrated public retrofit servicing agency,"The implementation of a Retrofit Code for energy, emissions, and safety upgrades.",Medium Confidence,"Like most existing buildings, the cost of retrofitting the building to achieve Step 5 would probably be better spent rebuilding the house with passive features incorporated. You can't retrofit the shape of a house to optimize window placement to catch light and wind. If Part 9 Code requires ""passive ready"" design, it's more likely a house will be carbon neutral by 2050.",,0
